transaction_id,customer_id,transaction_date,online_order,order_status,product_id
1,2950,2017-02-25,0,Approved,2
2,3120,2017-05-21,1,Approved,3
3,402,2017-10-16,0,Approved,37
4,3135,2017-08-31,0,Approved,88
5,787,2017-10-01,1,Approved,78
6,2339,2017-03-08,1,Approved,25
7,1542,2017-04-21,1,Approved,22
8,2459,2017-07-15,0,Approved,15
9,1305,2017-08-10,0,Approved,67
10,3262,2017-08-30,1,Approved,12
11,1986,2017-01-17,0,Approved,5
12,2783,2017-01-05,1,Approved,61
13,1243,2017-02-26,1,Approved,35
14,2717,2017-09-10,0,Approved,16
15,247,2017-06-11,0,Approved,12
16,2961,2017-10-10,0,Approved,3
17,2426,2017-04-03,0,Approved,79
18,1842,2017-06-02,0,Approved,33
19,2268,2017-04-06,1,Approved,54
20,3002,2017-01-28,1,Approved,25
21,1582,2017-10-09,0,Approved,27
22,595,2017-06-29,1,Approved,37
23,2001,2017-04-08,1,Approved,37
24,515,2017-10-18,0,Approved,82
25,2822,2017-06-11,0,Approved,89
26,2596,2017-01-10,0,Approved,64
27,2666,2017-04-11,1,Approved,64
28,76,2017-12-23,0,Approved,19
29,3368,2017-10-13,1,Approved,72
30,1173,2017-03-15,0,Approved,91
31,2810,2017-09-05,1,Approved,88
32,3214,2017-02-18,0,Approved,1
33,1272,2017-03-20,0,Approved,25
34,2003,2017-02-28,1,Approved,99
35,2171,2017-08-20,0,Approved,0
36,3356,2017-07-07,0,Approved,92
37,1040,2017-01-09,0,Approved,14
38,2916,2017-12-06,0,Approved,2
39,427,2017-09-12,0,Approved,12
40,2448,2017-11-28,1,Approved,0
41,2570,2017-05-08,1,Approved,44
42,3398,2017-05-14,0,Approved,79
43,488,2017-03-17,0,Cancelled,76
44,165,2017-12-22,0,Approved,46
45,2787,2017-06-07,1,Approved,55
46,3053,2017-06-20,0,Approved,66
47,475,2017-05-07,1,Approved,35
48,1305,2017-06-10,1,Approved,81
49,1251,2017-06-17,0,Approved,86
50,3103,2017-05-10,0,Approved,32
51,3108,2017-03-24,0,Approved,77
52,857,2017-11-27,0,Approved,96
53,3455,2017-12-21,1,Approved,6
54,2549,2017-02-09,1,Approved,27
55,3140,2017-09-18,0,Approved,0
56,3406,2017-11-14,0,Approved,47
